stop_id,boardings,alightings,location
150,1.5,17.7,"{'latitude': '41.87716981', 'longitude': '-87.76801292'}"
151,0.1,6.8,"{'latitude': '41.8771099', 'longitude': '-87.76974453'}"
152,0.2,5.2,"{'latitude': '41.87723809', 'longitude': '-87.7713027'}"
153,174.2,0.8,"{'latitude': '41.872683', 'longitude': '-87.76479999'}"
154,43.4,1.9,"{'latitude': '41.872803', 'longitude': '-87.761654'}"
155,10.4,1.3,"{'latitude': '41.8729', 'longitude': '-87.759367'}"
156,35.6,10.8,"{'latitude': '41.872855', 'longitude': '-87.75752'}"
157,96.9,19.1,"{'latitude': '41.87288253', 'longitude': '-87.75449102'}"
158,67.2,14.6,"{'latitude': '41.87289309', 'longitude': '-87.75318511'}"
159,29.7,13.1,"{'latitude': '41.87300185', 'longitude': '-87.74920832'}"
160,136.5,64.2,"{'latitude': '41.87306462', 'longitude': '-87.74514556'}"
161,13.6,4.5,"{'latitude': '41.873099', 'longitude': '-87.742661'}"
162,3.5,1.6,"{'latitude': '41.873198', 'longitude': '-87.740893'}"
163,5.5,5.5,"{'latitude': '41.873205', 'longitude': '-87.739488'}"
164,8.8,9.3,"{'latitude': '41.87321343', 'longitude': '-87.73794849'}"
165,27.6,15.1,"{'latitude': '41.87376435', 'longitude': '-87.73549587'}"
166,33.7,19,"{'latitude': '41.871629', 'longitude': '-87.735223'}"
167,12.2,5.8,"{'latitude': '41.87026275', 'longitude': '-87.73495185'}"
168,20.4,8.6,"{'latitude': '41.87089987', 'longitude': '-87.73270091'}"
169,15.3,11.9,"{'latitude': '41.8716', 'longitude': '-87.730102'}"
170,11,12.9,"{'latitude': '41.872297', 'longitude': '-87.727603'}"
171,102.4,97,"{'latitude': '41.87289549', 'longitude': '-87.72557064'}"
172,12.5,8.1,"{'latitude': '41.873419', 'longitude': '-87.723087'}"
174,50.6,32.8,"{'latitude': '41.873457', 'longitude': '-87.719565'}"
175,11.2,19.2,"{'latitude': '41.873469', 'longitude': '-87.718216'}"
177,7.5,9.5,"{'latitude': '41.873541', 'longitude': '-87.713327'}"
178,78.6,89.9,"{'latitude': '41.873566', 'longitude': '-87.71088'}"
179,2.8,5.1,"{'latitude': '41.873602', 'longitude': '-87.708461'}"
181,16.6,14.5,"{'latitude': '41.87365176', 'longitude': '-87.70351379'}"
182,64.2,84.5,"{'latitude': '41.87368976', 'longitude': '-87.70104879'}"
183,18.7,30.6,"{'latitude': '41.873716', 'longitude': '-87.698661'}"
185,43.4,10.3,"{'latitude': '41.873755', 'longitude': '-87.693779'}"
186,8.1,5.9,"{'latitude': '41.873785', 'longitude': '-87.690705'}"
187,9.7,11.2,"{'latitude': '41.873804', 'longitude': '-87.688797'}"
188,83,80.5,"{'latitude': '41.87382334', 'longitude': '-87.686408'}"
189,38.8,13.6,"{'latitude': '41.873882', 'longitude': '-87.683913'}"
190,19.2,5.8,"{'latitude': '41.873911', 'longitude': '-87.681449'}"
191,11.1,6.8,"{'latitude': '41.87395', 'longitude': '-87.67899'}"
192,42.3,69.2,"{'latitude': '41.87397341', 'longitude': '-87.67659224'}"
